Date,Category,Variable,Units,Year,Value
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2020,-3.463
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2021,7.824
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2022,2.09
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2023,-0.025
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2024,2.106
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2025,3.319
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2026,2.902
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2027,2.699
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2028,2.296
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2029,2.202
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2030,2.164
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2031,2.13
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2032,2.102
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,"Percentage change, annual rate",2033,2.07
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2020,-3.118
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2021,5.747
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2022,1.913
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2023,0.165
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2024,1.746
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2025,2.692
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2026,2.425
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2027,2.241
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2028,1.918
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2029,1.859
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2030,1.825
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2031,1.785
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2032,1.745
2/15/2023 0:00,Output,Real GNP,"Percentage change, annual rate",2033,1.706
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2020,-2.767
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2021,5.946
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2022,1.911
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2023,0.253
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2024,1.811
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2025,2.725
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2026,2.426
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2027,2.279
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2028,1.97
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2029,1.894
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2030,1.855
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2031,1.817
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2032,1.782
2/15/2023 0:00,Output,Real GDP,"Percentage change, annual rate",2033,1.746
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2020,-1.854
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2021,10.493
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2022,9.025
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2023,3.918
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2024,4.296
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2025,4.878
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2026,4.543
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2027,4.292
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2028,3.97
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2029,3.906
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2030,3.866
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2031,3.812
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2032,3.745
2/15/2023 0:00,Output,Gross National Product (GNP),"Percentage change, annual rate",2033,3.676
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2020,-1.498
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2021,10.705
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2022,9.026
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2023,4.008
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2024,4.362
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2025,4.911
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2026,4.544
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2027,4.331
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2028,4.023
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2029,3.942
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2030,3.896
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2031,3.844
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2032,3.782
2/15/2023 0:00,Output,Gross Domestic Product (GDP),"Percentage change, annual rate",2033,3.717
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2020,14090.9
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2021,15193.4
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2022,15511
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2023,15507.1
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2024,15833.8
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2025,16359.3
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2026,16834.2
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2027,17288.7
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2028,17685.6
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2029,18075.2
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2030,18466.4
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2031,18859.9
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2032,19256.4
2/15/2023 0:00,Output,Real Gross Value Added: Nonfarm Business,Billions of chained (2012) dollars,2033,19655.2
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2020,18509.2
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2021,19609.8
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2022,19984.6
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2023,20035.2
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2024,20398.1
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2025,20954.1
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2026,21462.5
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2027,21951.8
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2028,22384.4
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2029,22808.5
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2030,23231.7
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2031,23653.9
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2032,24075.5
2/15/2023 0:00,Output,Real GDP,Billions of chained (2012) dollars,2033,24496.1
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2020,18685.4
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2021,19759.3
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2022,20137.3
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2023,20170.7
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2024,20523
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2025,21075.5
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2026,21586.8
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2027,22070.7
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2028,22494.1
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2029,22912.3
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2030,23330.6
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2031,23747.2
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2032,24161.6
2/15/2023 0:00,Output,Real GNP,Billions of chained (2012) dollars,2033,24573.9
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2020,21060.5
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2021,23315.1
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2022,25419.5
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2023,26438.4
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2024,27591.9
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2025,28947
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2026,30262.4
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2027,31573.1
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2028,32843.4
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2029,34138.2
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2030,35468.3
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2031,36831.8
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2032,38224.9
2/15/2023 0:00,Output,Gross Domestic Product (GDP),Billions of dollars,2033,39645.9
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2020,21257.5
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2021,23488.2
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2022,25608.1
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2023,26611.6
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2024,27755
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2025,29109.1
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2026,30431.8
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2027,31738.1
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2028,32998.4
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2029,34287.5
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2030,35613.1
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2031,36970.9
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2032,38355.5
2/15/2023 0:00,Output,Gross National Product (GNP),Billions of dollars,2033,39765.8
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2020,22212.8
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2021,23615
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2022,25725.1
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2023,27163.1
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2024,28309.2
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2025,29413.6
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2026,30565.4
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2027,31757.7
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2028,33008.6
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2029,34309.8
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2030,35646.5
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2031,37016.9
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2032,38417
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,Billions of dollars,2033,39845.1
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2020,3.203
